detector_type,descriptor_type,frame no,no_keypoints_frame,no_keypoints_roi,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms
FAST,BRISK,9,1770,143,1.16533200,1.78436900,100,0.62364700

FAST,BRIEF,0,1824,149,1.27934200,1.09329800,0,0.00000000
FAST,BRIEF,1,1832,152,0.87271200,1.26692700,119,0.56708800
FAST,BRIEF,2,1810,150,0.89850800,0.80247700,130,0.59459800
FAST,BRIEF,3,1817,155,0.88899400,0.83142500,118,0.60547800
FAST,BRIEF,4,1793,149,0.93403600,0.85825100,126,0.59220700
FAST,BRIEF,5,1796,149,0.87470700,0.81800500,108,0.60883900
FAST,BRIEF,6,1788,156,0.87675800,0.83335700,123,0.58936700
FAST,BRIEF,7,1695,150,0.94758200,0.77773900,131,0.58735600
FAST,BRIEF,8,1749,138,0.90684700,0.79649600,125,0.54545600
FAST,BRIEF,9,1770,143,0.92104500,0.82424600,119,0.58041600

FAST,ORB,0,1824,149,0.88098200,1.14843900,0,0.00000000
FAST,ORB,1,1832,152,0.93648400,1.03505800,118,0.66555800
FAST,ORB,2,1810,150,1.06061400,1.04802400,123,0.62317500
FAST,ORB,3,1817,155,0.93033000,1.04497100,112,0.62768600
FAST,ORB,4,1793,149,0.89742500,1.06030300,126,0.63751200
FAST,ORB,5,1796,149,0.89797600,1.40898400,106,0.64702200
FAST,ORB,6,1788,156,1.06944000,1.07619400,122,0.62662500
FAST,ORB,7,1695,150,0.87038300,1.02700600,122,0.63104700
FAST,ORB,8,1749,138,0.93551300,1.02878600,123,0.58980800
FAST,ORB,9,1770,143,0.91160200,1.05683500,119,0.54875400

FAST,FREAK,0,1824,149,0.90876300,49.15998800,0,0.00000000
FAST,FREAK,1,1832,152,1.01526100,47.99358000,98,0.94724800
FAST,FREAK,2,1810,150,0.88941200,50.34672000,99,0.63411900
FAST,FREAK,3,1817,155,0.93871900,47.58968000,91,0.69422400
FAST,FREAK,4,1793,149,0.91582000,47.30201600,98,0.72379200
FAST,FREAK,5,1796,149,0.88699400,52.22468300,85,0.67375100
FAST,FREAK,6,1788,156,0.86583900,51.69539100,99,0.69879200
FAST,FREAK,7,1695,150,0.87995700,47.04604400,102,0.66928000
FAST,FREAK,8,1749,138,0.90267500,47.36715000,101,0.61011900
FAST,FREAK,9,1770,143,0.84321400,47.78560600,105,0.63130500

FAST,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,4,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,5,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,6,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,7,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,8,0,0,0.00000000,0.00000000,0,0.00000000
FAST,AKAZE,9,0,0,0.00000000,0.00000000,0,0.00000000

FAST,SIFT,0,1824,149,0.88553900,25.40741100,0,0.00000000
FAST,SIFT,1,1832,152,0.85830600,24.28545300,118,0.96900900
FAST,SIFT,2,1810,150,0.89093800,24.26858600,123,1.02867900
FAST,SIFT,3,1817,155,0.85147900,24.74671900,110,0.97990000
FAST,SIFT,4,1793,149,1.25376000,25.95655300,119,0.97420300
FAST,SIFT,5,1796,149,0.77467500,24.81251900,114,0.92965300
FAST,SIFT,6,1788,156,0.91377700,25.06337300,119,0.98020000
FAST,SIFT,7,1695,150,0.87296300,25.44142600,123,0.99390100
FAST,SIFT,8,1749,138,0.85887600,25.20328600,117,0.91821500
FAST,SIFT,9,1770,143,0.87515100,24.05340200,103,0.88177400

BRISK,BRISK,0,2757,264,47.34457600,3.13604800,0,0.00000000
BRISK,BRISK,1,2777,282,43.93420600,3.32611500,171,1.81804200
BRISK,BRISK,2,2741,282,42.24476600,3.75093100,176,1.83839600
BRISK,BRISK,3,2735,277,42.59056200,3.30212000,157,1.82367200
BRISK,BRISK,4,2757,297,42.69500000,3.52740100,176,1.98035200
BRISK,BRISK,5,2695,279,43.93505600,3.28001800,174,1.92613900
BRISK,BRISK,6,2715,289,42.43620700,3.45054700,188,1.91328300
BRISK,BRISK,7,2628,272,43.40948400,3.27812400,173,1.92723300
BRISK,BRISK,8,2639,266,41.65711200,3.17260400,171,1.69434600
BRISK,BRISK,9,2672,254,43.34917000,3.85353300,184,1.75106300

BRISK,BRIEF,0,2757,264,43.95493100,1.11369600,0,0.00000000
BRISK,BRIEF,1,2777,282,44.05095900,1.22215800,178,1.68347900
BRISK,BRIEF,2,2741,282,42.84761400,1.16609100,205,1.78992700
BRISK,BRIEF,3,2735,277,45.24509400,1.22020100,185,1.75208300
BRISK,BRIEF,4,2757,297,44.10603000,1.31506500,179,1.78054000
BRISK,BRIEF,5,2695,279,42.47329600,1.15497200,183,1.80265300
BRISK,BRIEF,6,2715,289,42.48054400,1.20335900,195,1.72303700
BRISK,BRIEF,7,2628,272,42.10544700,1.11816900,207,1.69717800
BRISK,BRIEF,8,2639,266,42.48188700,1.10924500,189,1.61846200
BRISK,BRIEF,9,2672,254,44.41857900,1.12084100,183,1.48360600

BRISK,ORB,0,2757,264,43.74145200,4.87017800,0,0.00000000
BRISK,ORB,1,2777,282,44.19646600,4.85677700,162,1.63267300
BRISK,ORB,2,2741,282,42.27365600,4.78723400,175,1.74176900
BRISK,ORB,3,2735,277,42.51677200,5.08170600,158,1.70733500
BRISK,ORB,4,2757,297,43.49115700,4.98685000,167,1.82998600
BRISK,ORB,5,2695,279,43.36987000,4.89456200,160,1.77027900
BRISK,ORB,6,2715,289,43.39496600,5.38474800,182,1.75258800
BRISK,ORB,7,2628,272,42.13174900,4.77560600,167,1.68328200
BRISK,ORB,8,2639,266,42.13503400,4.81817100,171,1.60846300
BRISK,ORB,9,2672,254,41.74340100,4.74878400,172,1.54733100

BRISK,FREAK,0,2757,264,43.66997700,49.28050600,0,0.00000000
BRISK,FREAK,1,2777,282,42.84511100,48.21569000,160,1.50525700
BRISK,FREAK,2,2741,282,42.68463600,47.74191500,177,1.66551600
BRISK,FREAK,3,2735,277,41.95680800,47.84788300,155,1.69986600
BRISK,FREAK,4,2757,297,43.29607400,47.76554600,173,2.15531800
BRISK,FREAK,5,2695,279,42.52460200,47.90336600,161,1.66635600
BRISK,FREAK,6,2715,289,42.67712500,48.34262000,183,1.63430400
BRISK,FREAK,7,2628,272,41.32176400,47.67611100,169,1.61989100
BRISK,FREAK,8,2639,266,42.71847400,47.50760600,178,1.51549600
BRISK,FREAK,9,2672,254,41.70464000,47.43456200,168,1.42225900

BRISK,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,4,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,5,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,6,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,7,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,8,0,0,0.00000000,0.00000000,0,0.00000000
BRISK,AKAZE,9,0,0,0.00000000,0.00000000,0,0.00000000

BRISK,SIFT,0,2757,264,42.87703100,68.19684200,0,0.00000000
BRISK,SIFT,1,2777,282,42.74281300,58.50863400,182,2.66866900
BRISK,SIFT,2,2741,282,43.28424100,59.35584300,193,2.90406800
BRISK,SIFT,3,2735,277,42.71641400,60.29624700,169,2.81800900
BRISK,SIFT,4,2757,297,43.02885600,61.05528700,183,2.90126500
BRISK,SIFT,5,2695,279,42.47169100,57.29474100,171,2.95301700
BRISK,SIFT,6,2715,289,42.28828700,59.69822900,195,2.87203700
BRISK,SIFT,7,2628,272,41.79723200,58.56632100,194,2.90247700
BRISK,SIFT,8,2639,266,42.92555000,66.57668100,176,2.63516300
BRISK,SIFT,9,2672,254,43.60102300,56.02996900,183,2.47428900

ORB,BRISK,0,500,92,14.12607200,1.34098300,0,0.00000000
ORB,BRISK,1,500,102,7.92668800,1.38191100,73,0.29688200
ORB,BRISK,2,500,106,8.71064100,1.52427400,74,0.31749700
ORB,BRISK,3,500,113,8.11494700,1.47707500,79,0.34734800
ORB,BRISK,4,500,109,8.04140300,1.50658500,85,0.35409400
ORB,BRISK,5,500,125,7.84891900,1.64258700,79,0.42377000
ORB,BRISK,6,500,130,11.09371100,1.75479400,92,0.43861100
ORB,BRISK,7,500,129,8.11040500,1.78263600,90,0.46528500
ORB,BRISK,8,500,127,7.52278900,1.68681600,88,0.67252900
ORB,BRISK,9,500,128,8.24784200,1.68831500,91,0.49006100

